model,set_size,sd_actual_deg,sd_normal_deg,w,kappa
bays,1,15.3838,15.2208,0.9988,14.6858
bays,2,24.3438,22.1610,0.9817,7.2217
bays,3,32.2354,27.5798,0.9560,4.8834
bays,4,39.5294,30.4984,0.9051,4.1179
bays,5,45.9966,33.5307,0.8576,3.5293
bays,6,50.0441,34.8318,0.8167,3.3227
bays,7,52.7954,35.8856,0.7920,3.1714
bays,8,59.0622,37.1304,0.7201,3.0083
gp,1,29.5549,16.3415,0.9018,12.8115
gp,2,34.2838,17.3297,0.8651,11.4520
gp,3,39.1538,19.2925,0.8321,9.3467
gp,4,46.0927,20.7741,0.7710,8.1386
gp,5,50.9834,23.2339,0.7239,6.6235
gp,6,52.8372,24.2834,0.7103,6.1144
gp,7,58.9936,23.9954,0.6393,6.2473
gp,8,61.6631,24.7159,0.6152,5.9236
bays,AGG,41.3052,27.6085,0.8570,4.8746
gp,AGG,47.1502,20.6259,0.7529,8.2477
